Enter the principal: 100000
Enter the interest as a percent: 5
Enter the term in years: 1
The monthly payment is: 8560.75

Month    Begin Bal      Payment    Principal     Interest      Balance
1        100000.00      8560.75      8144.08       416.67     91855.92
2         91855.92      8560.75      8178.02       382.73     83677.90
3         83677.90      8560.75      8212.09       348.66     75465.81
4         75465.81      8560.75      8246.31       314.44     67219.50
5         67219.50      8560.75      8280.67       280.08     58938.83
6         58938.83      8560.75      8315.17       245.58     50623.66
7         50623.66      8560.75      8349.82       210.93     42273.84
8         42273.84      8560.75      8384.61       176.14     33889.23
9         33889.23      8560.75      8419.54       141.21     25469.69
10        25469.69      8560.75      8454.63       106.12     17015.06
11        17015.06      8560.75      8489.85        70.90      8525.21
12         8525.21      8560.73      8525.21        35.52         0.00
