Enter the principal: 100000
Enter the interest as a percent: 5
Enter the term in years: 1
The monthly payment is: $8,560.75

Month      Begin Bal        Payment      Principal      Interest        Balance
1        $100,000.00      $8,560.75      $8,144.08       $416.67     $91,855.92
2         $91,855.92      $8,560.75      $8,178.02       $382.73     $83,677.90
3         $83,677.90      $8,560.75      $8,212.09       $348.66     $75,465.81
4         $75,465.81      $8,560.75      $8,246.31       $314.44     $67,219.50
5         $67,219.50      $8,560.75      $8,280.67       $280.08     $58,938.83
6         $58,938.83      $8,560.75      $8,315.17       $245.58     $50,623.66
7         $50,623.66      $8,560.75      $8,349.82       $210.93     $42,273.84
8         $42,273.84      $8,560.75      $8,384.61       $176.14     $33,889.23
9         $33,889.23      $8,560.75      $8,419.54       $141.21     $25,469.69
10        $25,469.69      $8,560.75      $8,454.63       $106.12     $17,015.06
11        $17,015.06      $8,560.75      $8,489.85        $70.90      $8,525.21
12         $8,525.21      $8,560.73      $8,525.21        $35.52          $0.00
