Please enter an integer: 9
Please enter a maximum power: 6

n^1 | n^2 | n^3 |  n^4 |   n^5 |    n^6
---------------------------------------
  1 |   1 |   1 |    1 |     1 |      1
  2 |   4 |   8 |   16 |    32 |     64
  3 |   9 |  27 |   81 |   243 |    729
  4 |  16 |  64 |  256 |  1024 |   4096
  5 |  25 | 125 |  625 |  3125 |  15625
  6 |  36 | 216 | 1296 |  7776 |  46656
  7 |  49 | 343 | 2401 | 16807 | 117649
  8 |  64 | 512 | 4096 | 32768 | 262144
  9 |  81 | 729 | 6561 | 59049 | 531441
